,Position,Track Name,Artist,Streams,URL,Song ID,index,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,1,Sucker,Jonas Brothers,15564538,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,4y3OI86AEP6PQoDE6olYhO,0,0.0436,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.846,181040,0.731,4y3OI86AEP6PQoDE6olYhO,0.0,1,0.0949,-5.027,0,0.064,137.947,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.933
1,2,7 rings,Ariana Grande,10794923,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,6ocbgoVGwYJhOv1GgI9NsF,1,0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
2,3,MIDDLE CHILD,J. Cole,10268456,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2JvzF1RMd7lE3KmFlsyZD8,2,0.149,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,0.837,213594,0.364,2JvzF1RMd7lE3KmFlsyZD8,0.0,8,0.271,-11.713,1,0.276,123.984,4,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,audio_features,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,0.463
3,4,Murder On My Mind,YNW Melly,9916313,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,7eBqSVxrzQZtK2mmgRG6lC,3,0.145,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,0.759,268434,0.73,7eBqSVxrzQZtK2mmgRG6lC,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,audio_features,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,0.74
4,5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9624645,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,7dbka99KTWke5o9hRp0JoB,4,0.552,https://api.spotify.com/v1/audio-analysis/7dbka99KTWke5o9hRp0JoB,0.761,158040,0.479,7dbka99KTWke5o9hRp0JoB,0.0,2,0.0704,-5.574,1,0.0466,89.913,4,https://api.spotify.com/v1/tracks/7dbka99KTWke5o9hRp0JoB,audio_features,spotify:track:7dbka99KTWke5o9hRp0JoB,0.912
5,6,"break up with your girlfriend, i'm bored",Ariana Grande,9596167,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,4kV4N9D1iKVxx1KLvtTpjS,5,0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,190440,0.554,4kV4N9D1iKVxx1KLvtTpjS,0.0,5,0.106,-5.29,0,0.0917,169.999,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335
6,7,Robbery,Juice WRLD,9364059,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV,44ShclXTOOnYtt5CnCDeGV,6,0.342,https://api.spotify.com/v1/audio-analysis/44ShclXTOOnYtt5CnCDeGV,0.708,240527,0.691,44ShclXTOOnYtt5CnCDeGV,0.0,2,0.222,-5.179,1,0.0442,79.99,4,https://api.spotify.com/v1/tracks/44ShclXTOOnYtt5CnCDeGV,audio_features,spotify:track:44ShclXTOOnYtt5CnCDeGV,0.535
7,8,Wow.,Post Malone,9350302,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,7,0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520,0.539,6MWtB6iiXyIwun0YzU6DFP,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385
8,9,Going Bad (feat. Drake),Meek Mill,7855022,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,8,0.259,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,0.889,180522,0.496,2IRZnDFmlqMuOrYOLnZZyc,0.0,4,0.252,-6.365,0,0.0905,86.003,4,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,0.544
9,10,Shallow,Lady Gaga,6764366,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,9,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323
10,11,a lot,21 Savage,6723155,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,10,0.0395,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,0.837,288624,0.636,2t8yVaLvJ0RenpXUIAC52d,0.00125,1,0.342,-7.643,1,0.086,145.972,4,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,audio_features,spotify:track:2t8yVaLvJ0RenpXUIAC52d,0.274
11,12,Thotiana,Blueface,6410390,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,3oh6SCCeLuXhFpEyepla6G,11,0.18,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,0.906,129264,0.382,3oh6SCCeLuXhFpEyepla6G,0.0,10,0.113,-12.89,0,0.269,104.025,4,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,audio_features,spotify:track:3oh6SCCeLuXhFpEyepla6G,0.391
12,13,Talk,Khalid,6185488,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,0rTV5WefWd1J3OwIheTzxM,12,0.0501,https://api.spotify.com/v1/audio-analysis/0rTV5WefWd1J3OwIheTzxM,0.9,197487,0.4,0rTV5WefWd1J3OwIheTzxM,0.0,0,0.0876,-8.443,1,0.124,136.001,4,https://api.spotify.com/v1/tracks/0rTV5WefWd1J3OwIheTzxM,audio_features,spotify:track:0rTV5WefWd1J3OwIheTzxM,0.338
13,14,Drip Too Hard (Lil Baby & Gunna),Lil Baby,6157441,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,13,0.103,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.896,145543,0.671,78QR3Wp35dqAhFEc2qAGjE,0.0,1,0.552,-6.977,0,0.289,112.502,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.358
14,15,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,5944620,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,1wJRveJZLSb1rjhnUHQiv6,14,0.0153,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,0.581,189487,0.662,1wJRveJZLSb1rjhnUHQiv6,0.0,9,0.111,-5.239,1,0.303,93.023,4,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,audio_features,spotify:track:1wJRveJZLSb1rjhnUHQiv6,0.434
15,16,i,Lil Skies,5934083,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT,4ZT9FnbFu1PaBfV3itxiqT,15,0.627,https://api.spotify.com/v1/audio-analysis/4ZT9FnbFu1PaBfV3itxiqT,0.649,181891,0.453,4ZT9FnbFu1PaBfV3itxiqT,0.0,6,0.116,-7.28,1,0.085,99.183,4,https://api.spotify.com/v1/tracks/4ZT9FnbFu1PaBfV3itxiqT,audio_features,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,0.431
16,17,"thank u, next",Ariana Grande,5825536,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,3e9HZxeyfWwjeyPAMmWSSQ,16,0.229,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,0.717,207320,0.653,3e9HZxeyfWwjeyPAMmWSSQ,0.0,1,0.101,-5.634,1,0.0658,106.966,4,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.412
17,18,Pure Water (with Migos),Mustard,5759537,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,63cd4JkwGgYJrbOizbfmsp,17,0.172,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,0.68,194520,0.559,63cd4JkwGgYJrbOizbfmsp,0.0,0,0.318,-5.545,1,0.129,202.006,4,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,audio_features,spotify:track:63cd4JkwGgYJrbOizbfmsp,0.137
18,19,SICKO MODE,Travis Scott,5510628,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,18,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
19,20,Look Back At It,A Boogie Wit da Hoodie,5242698,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,3Ol2xnObFdKV9pmRD2t9x8,19,0.407,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,0.791,179449,0.587,3Ol2xnObFdKV9pmRD2t9x8,0.0,3,0.148,-5.075,0,0.0413,96.057,4,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,audio_features,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,0.536
20,21,Please Me,Cardi B,5193922,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,0PG9fbaaHFHfre2gUVo7AN,20,0.0642,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,0.747,200890,0.57,0PG9fbaaHFHfre2gUVo7AN,0.0,1,0.0832,-6.711,1,0.081,133.992,4,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,audio_features,spotify:track:0PG9fbaaHFHfre2gUVo7AN,0.65
21,22,bury a friend,Billie Eilish,5184731,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,4NzMOnvSJVNKF7nw5NkXIP,21,0.74,https://api.spotify.com/v1/audio-analysis/4NzMOnvSJVNKF7nw5NkXIP,0.905,193143,0.389,4NzMOnvSJVNKF7nw5NkXIP,0.162,8,0.106,-14.505,1,0.332,120.046,4,https://api.spotify.com/v1/tracks/4NzMOnvSJVNKF7nw5NkXIP,audio_features,spotify:track:4NzMOnvSJVNKF7nw5NkXIP,0.196
22,23,Without Me,Halsey,5178223,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,22,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
23,24,ZEZE (feat. Travis Scott & Offset),Kodak Black,4992132,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,0FZ4Dmg8jJJAPJnvBIzD9z,23,0.0521,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,0.861,228760,0.603,0FZ4Dmg8jJJAPJnvBIzD9z,0.0,8,0.0924,-5.788,0,0.176,98.043,4,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,0.504
24,25,Happier,Marshmello,4956696,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,24,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0.0,5,0.167,-2.749,1,0.0452,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
25,26,Dancing With A Stranger (with Normani),Sam Smith,4835336,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,6Qs4SXO9dwPj5GKvVOv8Ki,25,0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347
26,27,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,4609735,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,1WSGTYKLEpKfNQYYW5Oymt,26,0.404,https://api.spotify.com/v1/audio-analysis/1WSGTYKLEpKfNQYYW5Oymt,0.541,158027,0.468,1WSGTYKLEpKfNQYYW5Oymt,3.65e-06,10,0.358,-4.039,0,0.362,95.266,4,https://api.spotify.com/v1/tracks/1WSGTYKLEpKfNQYYW5Oymt,audio_features,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,0.69
27,28,Mixed Personalities (feat. Kanye West),YNW Melly,4564352,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,6vWEAOUSxohKxhp0K1BsxL,27,0.457,https://api.spotify.com/v1/audio-analysis/6vWEAOUSxohKxhp0K1BsxL,0.661,230400,0.44,6vWEAOUSxohKxhp0K1BsxL,0.0,2,0.128,-9.104,1,0.0803,149.937,4,https://api.spotify.com/v1/tracks/6vWEAOUSxohKxhp0K1BsxL,audio_features,spotify:track:6vWEAOUSxohKxhp0K1BsxL,0.352
28,29,Mo Bamba,Sheck Wes,4491026,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,28,0.194,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.729,183907,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261
29,30,i'm so tired...,Lauv,4444834,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,7COXchtUOMd6uIT6HvmRaI,29,0.176,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,0.599,162583,0.733,7COXchtUOMd6uIT6HvmRaI,0.0,11,0.242,-7.058,1,0.203,102.211,4,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,audio_features,spotify:track:7COXchtUOMd6uIT6HvmRaI,0.534
30,31,Hear Me Calling,Juice WRLD,4428208,https://open.spotify.com/track/5UYK9MervBCROg8AHNeEIy,5UYK9MervBCROg8AHNeEIy,30,0.417,https://api.spotify.com/v1/audio-analysis/5UYK9MervBCROg8AHNeEIy,0.648,189977,0.701,5UYK9MervBCROg8AHNeEIy,9.9e-06,10,0.103,-3.546,1,0.186,177.943,4,https://api.spotify.com/v1/tracks/5UYK9MervBCROg8AHNeEIy,audio_features,spotify:track:5UYK9MervBCROg8AHNeEIy,0.588
31,32,Lucid Dreams,Juice WRLD,4411008,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,31,0.349,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,0.511,239836,0.566,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,0.2,83.903,4,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR,0.218
32,33,Better,Khalid,4280354,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,32,0.0765,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,229320,0.552,6zeeWid2sgw4lap2jV61PZ,0.334,0,0.104,-10.278,0,0.097,97.949,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ,0.112
33,34,Red Room,Offset,4275715,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq,4TWflhgevIGo448fWc6mQq,33,0.479,https://api.spotify.com/v1/audio-analysis/4TWflhgevIGo448fWc6mQq,0.936,241440,0.559,4TWflhgevIGo448fWc6mQq,0.0,7,0.128,-8.587,0,0.157,112.347,4,https://api.spotify.com/v1/tracks/4TWflhgevIGo448fWc6mQq,audio_features,spotify:track:4TWflhgevIGo448fWc6mQq,0.527
34,35,Armed And Dangerous,Juice WRLD,4247258,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,5wujBwqG7INdStqGd4tRMX,34,0.186,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,0.736,169999,0.67,5wujBwqG7INdStqGd4tRMX,0.0,10,0.114,-6.702,1,0.311,130.032,4,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,audio_features,spotify:track:5wujBwqG7INdStqGd4tRMX,0.845
35,36,NASA,Ariana Grande,4100417,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,4SPu0Ql902hTVXkBoNIYtq,35,0.447,https://api.spotify.com/v1/audio-analysis/4SPu0Ql902hTVXkBoNIYtq,0.737,182000,0.461,4SPu0Ql902hTVXkBoNIYtq,0.0,6,0.268,-6.887,1,0.293,75.005,4,https://api.spotify.com/v1/tracks/4SPu0Ql902hTVXkBoNIYtq,audio_features,spotify:track:4SPu0Ql902hTVXkBoNIYtq,0.481
36,37,Eastside (with Halsey & Khalid),benny blanco,4046579,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,7FGq80cy8juXBCD2nrqdWU,36,0.549,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,0.632,170770,0.686,7FGq80cy8juXBCD2nrqdWU,0.0,6,0.2,-7.665,0,0.243,89.949,4,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,audio_features,spotify:track:7FGq80cy8juXBCD2nrqdWU,0.329
37,38,Wake Up in the Sky,Gucci Mane,4039403,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2G1tXoGBaEMJ7FKGnkf6ud,37,0.00381,https://api.spotify.com/v1/audio-analysis/2G1tXoGBaEMJ7FKGnkf6ud,0.8,203161,0.578,2G1tXoGBaEMJ7FKGnkf6ud,0.0,4,0.367,-5.144,0,0.0485,143.01,4,https://api.spotify.com/v1/tracks/2G1tXoGBaEMJ7FKGnkf6ud,audio_features,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,0.367
38,39,Money,Cardi B,3978680,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,38,0.00534,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,0.95,183527,0.59,2GGMabyHXnJmjY6CXhhB2e,0.0,8,0.11,-6.508,0,0.29,130.003,4,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,audio_features,spotify:track:2GGMabyHXnJmjY6CXhhB2e,0.219
39,40,needy,Ariana Grande,3933500,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,1TEL6MlSSVLSdhOSddidlJ,39,0.78,https://api.spotify.com/v1/audio-analysis/1TEL6MlSSVLSdhOSddidlJ,0.647,171573,0.309,1TEL6MlSSVLSdhOSddidlJ,7.41e-06,7,0.202,-7.948,0,0.0366,87.045,4,https://api.spotify.com/v1/tracks/1TEL6MlSSVLSdhOSddidlJ,audio_features,spotify:track:1TEL6MlSSVLSdhOSddidlJ,0.195
40,41,Nights Like This (feat. Ty Dolla $ign),Kehlani,3873079,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,6ZRuF2n1CQxyxxAAWsKJOy,40,0.367,https://api.spotify.com/v1/audio-analysis/6ZRuF2n1CQxyxxAAWsKJOy,0.61,201788,0.725,6ZRuF2n1CQxyxxAAWsKJOy,0.0,8,0.154,-5.131,1,0.15,146.163,4,https://api.spotify.com/v1/tracks/6ZRuF2n1CQxyxxAAWsKJOy,audio_features,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,0.291
41,42,wish you were gay,Billie Eilish,3851469,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS,4txc3txsIt81diMzGhrVPS,41,0.39,https://api.spotify.com/v1/audio-analysis/4txc3txsIt81diMzGhrVPS,0.853,221543,0.351,4txc3txsIt81diMzGhrVPS,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,https://api.spotify.com/v1/tracks/4txc3txsIt81diMzGhrVPS,audio_features,spotify:track:4txc3txsIt81diMzGhrVPS,0.282
42,43,Better Now,Post Malone,3833562,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,42,0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267,0.563,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.136,-5.843,1,0.0454,145.028,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.374
43,44,SAD!,XXXTENTACION,3805638,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,43,0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.74,166606,0.613,3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,1,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
44,45,Legacy (feat. Travis Scott & 21 Savage),Offset,3758949,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99,7pMRoGLEJuFM2wl5pt0R99,44,0.178,https://api.spotify.com/v1/audio-analysis/7pMRoGLEJuFM2wl5pt0R99,0.844,244941,0.513,7pMRoGLEJuFM2wl5pt0R99,0.0,1,0.0845,-8.769,1,0.335,128.085,4,https://api.spotify.com/v1/tracks/7pMRoGLEJuFM2wl5pt0R99,audio_features,spotify:track:7pMRoGLEJuFM2wl5pt0R99,0.344
45,46,Whip (feat. Travis Scott),2 Chainz,3758393,https://open.spotify.com/track/6Z4rmc0uujCpl8yXe3yjgI,6Z4rmc0uujCpl8yXe3yjgI,45,0.12,https://api.spotify.com/v1/audio-analysis/6Z4rmc0uujCpl8yXe3yjgI,0.793,226600,0.399,6Z4rmc0uujCpl8yXe3yjgI,0.0,7,0.124,-7.428,1,0.0951,121.949,4,https://api.spotify.com/v1/tracks/6Z4rmc0uujCpl8yXe3yjgI,audio_features,spotify:track:6Z4rmc0uujCpl8yXe3yjgI,0.0379
46,47,Leave Me Alone,Flipp Dinero,3715989,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,46,0.107,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.792,195637,0.743,14mHfNsSHN0FbLftyjrV9g,0.0,7,0.183,-2.806,1,0.0851,150.024,4,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g,0.742
47,48,Bad Girls (feat. Gucci Mane),Lil Skies,3681385,https://open.spotify.com/track/0hCHNYL8ApQCGNwJrYN1FY,0hCHNYL8ApQCGNwJrYN1FY,47,0.208,https://api.spotify.com/v1/audio-analysis/0hCHNYL8ApQCGNwJrYN1FY,0.771,219664,0.761,0hCHNYL8ApQCGNwJrYN1FY,0.0,1,0.091,-4.727,0,0.047,131.01,4,https://api.spotify.com/v1/tracks/0hCHNYL8ApQCGNwJrYN1FY,audio_features,spotify:track:0hCHNYL8ApQCGNwJrYN1FY,0.277
48,49,Envy Me,Calboy,3509752,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,05t7JMip6JrLuSrMV5yYjX,48,0.282,https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX,0.556,120137,0.481,05t7JMip6JrLuSrMV5yYjX,0.0,11,0.216,-7.663,1,0.313,149.025,4,https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX,audio_features,spotify:track:05t7JMip6JrLuSrMV5yYjX,0.581
49,50,Moonlight,XXXTENTACION,3499425,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,49,0.556,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,135090,0.537,0JP9xo3adEtGSdUEISiszL,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,0.711
50,51,Splashin,Rich The Kid,3440177,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,79OEIr4J4FHV0O3KrhaXRb,0,0.00195,https://api.spotify.com/v1/audio-analysis/79OEIr4J4FHV0O3KrhaXRb,0.942,177806,0.383,79OEIr4J4FHV0O3KrhaXRb,0.0,10,0.0922,-8.099,1,0.565,100.021,4,https://api.spotify.com/v1/tracks/79OEIr4J4FHV0O3KrhaXRb,audio_features,spotify:track:79OEIr4J4FHV0O3KrhaXRb,0.38
51,52,Saturday Nights,Khalid,3400017,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,5kfNriitmkNE8mUbZ7gbq8,1,0.606,https://api.spotify.com/v1/audio-analysis/5kfNriitmkNE8mUbZ7gbq8,0.551,210667,0.44,5kfNriitmkNE8mUbZ7gbq8,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8,audio_features,spotify:track:5kfNriitmkNE8mUbZ7gbq8,0.341
